SKU_ID,sku,product_line,brand,sales,price
104,HTC Desire 628 Dual SIM LTE Blue,Smart Phones (OS Based),"HTC",1,4500
105,STUFFCOOL Mighty Protctr Smsng J7 PRO Bk,Phones Mobile Accessories,"STUFFCOOL",1,699
106,HP 15.6 ODYSSEY REDBLACK BACKPACK,Computer Bags,"HP",2,1377.5
107,Altec Lansing Earphones Earc60 Black,Earphones/Headphones,"ALTEC LANSING",3,1299
108,Pureit Marvella RO+UV,Water Purifiers,"PUREIT",6,15990
109,Panasonic 2.1 Ch Speaker SC-HT21GW-K(BT),Speakers,"PANASONIC",3,6290
110,Do not use Dell 3567 7Gi7 8GB2X+Off,Mobile Computing,"DELL",4,58242.5
111,Samsung Galaxy S7 Edge Blue,Smart Phones (OS Based),"SAMSUNG",1,42900
112,Motorola Cordless Phone C602 I Black,Phones Fixed,"MOTOROLA",1,4190
113,Sony Digicam 20MP H400 Blk (New MRP),Digital Cameras,"SONY",1,21990
114,Energizer Car Charger 1A 1USB Black,Phones Mobile Accessories,"ENERGIZER",3,240.6666667
115,Logitech Bluetooth Multi-Devce Kybd K480,Input Devices,"LOGITECH",1,1999
116,Lenovo 14 Yoga520 RUIN 7Gi3 4GBN+OFF GRY,Mobile Computing,"LENOVO",8,46866.25
117,Apple Wall Charger USB Power Adapter 5W,Phones Mobile Accessories,"APPLE",18,1553.722222
118,PANASONIC INV/AC 1T CS-PS12SKYA 3S,Air Conditioners,"PANASONIC",3,34842
119,STUFFCOOL Colt 2USB Car Chrgr 4.8A GLD,Phones Mobile Accessories,"STUFFCOOL",1,999
120,CATZ Powerbank 10000mAH,Phones Mobile Accessories,"BRILYANT",1,1349
121,Itek LP Powerbank 10000mAH,Phones Mobile Accessories,"ITEK",5,1439
122,HP 14 x360 -BA075TX 7Gi3 4GB 2X+OFF SLV,Mobile Computing,"HP",22,52879.18182
123,Logitech M171 Red,Input Devices,"LOGITECH",4,899
124,Cyber Power Surge Prot 4way B0415SA0-UN,PC Accessories,"Cyber Power",1,699
125,BOSCH W/M FL 7KG WAK24269IN SILVER,Washing Machines,"BOSCH",2,33574
126,LG W/AC 1.5T LWA5CS5A 5S,Air Conditioners,"LG",2,29019
127,Itek Bullet Dual USB Car Charger Black,Phones Mobile Accessories,"ITEK",1,449
128,Sony LED 80cm KLV-32R422E,TV LCD,"SONY",5,28642
129,Itek Loop Lightening Cable Blk,Phones Mobile Accessories,"ITEK",4,924
130,SAMSUNG REF SBS 868L RH80J81323M/TL,Refrigerators,"SAMSUNG",1,123000
131,Bose Universal Bracket UB-20 II BLK,Shop in Shop,"BOSE",2,2523
132,Google Play Gift Card - INR 1500,Phones Mobile Providers,"GOOGLE",7,1500
133,SAMSUNG REF DC 192L RR20M182ZR2/HL 3S,Refrigerators,"SAMSUNG",4,16412.5
134,RACOLD Geyser 15L ANDRIS LUXPLUS,Home Appliances,"RACOLD",3,8024
135,Travel Blue Sling Bags Executive Bag,Travel Accessories,"TRAVEL BLUE",1,2490
136,SONY LED 124cm 49X9000E UHD/4K,TV LCD,"SONY",1,140991
137,Fitbit Blaze Blue Silver - Large,Lifestyle & Wearables,"FITBIT",1,13999
138,Targus Trolley Laptop Bag 40cm,Computer Bags,"TARGUS",35,2493.114286
139,SAMSUNG J7 Pro Flip cover Gold,Phones Mobile Accessories,"SAMSUNG",1,1104
140,Casemate Tough Mag iPhone 7/6s,Phones Mobile Accessories,"CASEMATE",2,1295
141,FABER HOOD CLEO PB BK LTW 60,Cookware,"FABER",1,8190
142,Philips Pop-up Toaster 2SL HD4823/01,Kitchen Appliances,"PHILIPS",3,1600
143,Sony Sports Earphone MDRAS210AP Black,Earphones/Headphones,"SONY",4,1290
144,Croma 9 tab Unisex sling bag XL5175,Computer Bags,"CROMA",1,1099
145,GODREJ REF FF 261L RTEON P3.4SM,Refrigerators,"GODREJ",1,22092
146,Philips Earphone SHE5305 White,Earphones/Headphones,"PHILIPS",1,1249
147,STUFFCOOL Colt 2USB Car Chrgr 4.8A SGRY,Phones Mobile Accessories,"STUFFCOOL",2,974
148,Sony Xperia XA 1 White,Smart Phones (OS Based),"SONY",2,19990
149,Fenda PC Speakers F380X,Speakers,"FENDA",3,3549
150,Gionee P5L Black,Smart Phones (OS Based),"GIONEE",10,7999
151,Croma sports earphone EA7287,Earphones/Headphones,"CROMA",2,599
152,E-A.O.Smith Geyser 25L/Ver/SES,Home Appliances,"A.O.SMITH",3,12255
153,Philips 2.0 Tower Speaker SPA9080B,Speakers,"PHILIPS",4,10490
154,STUFFCOOL Colt 2USB Car Chrgr 4.8A SIL,Phones Mobile Accessories,"STUFFCOOL",2,999
155,Croma Dual Blade Tower fan CRAF0040,Fans,"CROMA",1,6780
156,ULTRAPROLINK USB 2.0 RJ45 McBook Air,Peripherals,"PROLINK",1,2199
157,Croma BS 2Sl Toaster with Lid CRK4174,Kitchen Appliances,"CROMA",9,1803.888889
158,LG W/M TL 7KG T8067TEDLK.ABKPEIL,Washing Machines,"LG",22,21940.09091
159,Travel BlueTranquillity Pillow,Travel Accessories,"TRAVEL BLUE",3,1995
160,CATZ Reversible Micro USB Cable 1M,Phones Mobile Accessories,"BRILYANT",1,499
161,HP Ink Cartridge F6V -21AA (803-Blk),Printers & Office Solutions,"HP",2,795
162,LG LED 124cm 49LJ554T,TV LCD,"LG",4,55876.5
163,SAMSUNG REF SBS 826L RF28K9380SG/TL,Refrigerators,"SAMSUNG",2,218535
164,Itek Rager II Bluetooth Calling Speaker,MP3 Players,"ITEK",1,999
165,SAMSUNG J7 Pro Black,Smart Phones (OS Based),"SAMSUNG",98,20878.40816
166,Honeywell Lightening Cbl Sync &Chrg 1.2M,Phones Mobile Accessories,"HONEYWELL",1,1549
167,APPLE IPHONE SE 32GB SPACE GRAY,Smart Phones (OS Based),"APPLE",25,23230
168,Apple MacBook Pro 13in TBar i5 512GB SG,Mobile Computing,"APPLE",5,131711
169,Stuffcool Wall Charger Uno 1A,Phones Mobile Accessories,"STUFFCOOL",4,539
170,Micromax Canvas P802 8in 4G 2GB 16GB GRY,Tablets & Detachables,"MICROMAX",3,9366.333333
171,Acer Carrycase/Backpack 39cm,Computer Bags,"ACER",11,999
172,LG REF FF 360L GLT402ENSY NOBLE STEEL 3S,Refrigerators,"LG",4,37204.5
173,GodrejGP 2xAA 2100 Rechargeable Battery,Travel Accessories,"GODREJ",2,344
174,Moto C Black,Smart Phones (OS Based),"MOTOROLA",18,5990.666667
175,Panasonic CordPhn KX-TSC60,Phones Fixed,"PANASONIC",12,1153.75
176,Motorola Cordless Phone C601 I,Phones Fixed,"MOTOROLA",4,2150
177,Strontium SD Card Nitro 16GB,Imaging Accessories,"Strontium",5,799
178,SAMSUNG REF FF 393L RT39K5518S8/TL 3S,Refrigerators,"SAMSUNG",10,39355
179,SAMSUNG W/M TL 6.5KG WA65M4000HA/TL SLV,Washing Machines,"SAMSUNG",4,20990
180,PANASONIC W/M TL 6.5KG NA-F65H6SRB,Washing Machines,"PANASONIC",4,18990
181,HP Ink Cartrdge 678 Black,Printers & Office Solutions,"HP",3,549
182,Sony Earphone MDR-EX15LP Black,Earphones/Headphones,"SONY",5,690
183,SCRATCHGARD Tempered Glass 3D Galaxy S8,Phones Mobile Accessories,"SCRATCHGARD",9,1415.666667
184,IDEAL AC Bracket,Air Conditioners,"IDEAL",25,799
185,Targus Lightng to USB cable Black,Phones Mobile Accessories,"TARGUS",1,940
186,Lenovo Tab3-7X ZA130196IN 4G 17cm,Tablets & Detachables,"LENOVO",8,8999
187,SCRATCHGARD Tempred Glass Smsg J7 Pro,Phones Mobile Accessories,"SCRATCHGARD",11,544
188,Blue Star Wtr Disp with ref BWD3FMRGA-G,Water Purifiers,"BLUESTAR",2,10290
189,HP DeskJet Ink Adv 3776 AIO Printer,Printers & Office Solutions,"HP",12,5983.833333
190,BELKIN 3.5mm Mini Str Cable 2M,Entertainment Accessories,"BELKIN",7,449
191,LG G6 Dual SIM LTE Astro Black,Smart Phones (OS Based),"LG",5,39190
192,Croma W/D3Tap 19LRef CRAK10020,Water Purifiers,"CROMA",3,9222.333333
193,Ducati Fighter Back case iPhone 7 Blk,Phones Mobile Accessories,"SKYWATER",1,1890
194,BLUESTAR 200L DEEP FREEZER,Refrigerators,"BLUESTAR",1,20176
195,SoundLink Color BT Speaker White KR,Shop in Shop,"BOSE",1,7920
196,LG LED 109cm 43UH650T UHD/4K,TV LCD,"LG",2,51443
197,BELKIN HDMI Hispeed Ethernet2M,Entertainment Accessories,"BELKIN",3,899
198,SAMSUNG J5 Prime 32GB Black,Smart Phones (OS Based),"SAMSUNG",33,13479.78788
199,Hwell HDMI to Mini Display port cbl WHT,Peripherals,"HONEYWELL",1,2099
200,BOSE BT Speaker Soundlink Color II Red,Shop in Shop,"BOSE",2,11500
201,Stuffcool Puretuff Tempered iPhone 7+,Phones Mobile Accessories,"CASEMATE",4,436.5
202,Croma mini card reader (Slv) CRXA1221,PC Accessories,"CROMA",5,499
203,SAMSUNG J 7 Max Black,Smart Phones (OS Based),"SAMSUNG",100,17891.05
204,"Croma 34.3cm (14"") Laptop Sleeve XL5181",Computer Bags,"CROMA",15,699
205,Croma M/W Conv 23L CRAM0144,Microwaves,"CROMA",17,7873.529412
206,Lenovo Tab3-710 F Essential ZA0R0039IN,Tablets & Detachables,"LENOVO",14,4999
207,Targus 12inch Grid Impat Vertical Slcase,Computer Bags,"TARGUS",1,2699
208,Samsung Stereo Headset HS130 w/Mic White,Phones Mobile Accessories,"SAMSUNG",4,664
209,Croma Tower fan CRAF0031,Fans,"CROMA",9,3377.333333
210,APPLE 13in Macbook MQD42HN/A i5 256GB,Mobile Computing,"APPLE",9,78434.44444
211,Morphy Food Processor icon Deluxe,Kitchen Appliances,"MORPHYRICH",16,7990
212,Croma HDR DLED 80CM32inch EL7329SemiSmrt,TV LCD,"CROMA-ADONIS",4,16500
213,HP 14Pav x360 ba078TX 7Gi7 8GB4x+Off SLV,Mobile Computing,"HP",2,78840
214,Croma Coffee Maker CRAK0028,Kitchen Appliances,"CROMA",2,1930
215,Acer Z3-451 A10 4GBN+Off BLK,Mobile Computing,"ACER",1,29990
216,HP 15-AY511 i36G 8GB2X+Off (SLV),Mobile Computing,"HP",6,40956.66667
217,Bose Wireless Headphone SoundSport Black,Shop in Shop,"BOSE",1,13275
218,Super General S/AC 1T SGSI125-5BE 5S,Air Conditioners,"Super General",1,23740
219,DELL AIO 3464 7Gi5 8GB2X +Off,Desktops,"DELL",1,68490
220,Panasonic M/W Conv 27L NN-CD684BFDG,Microwaves,"PANASONIC",6,15808.66667
221,Neopack Handle Sleeve 33cm (13inch),Computer Bags,"NeoPack",3,1499
222,VIVO Y53 Matte Black,Smart Phones (OS Based),"VIVO",29,9990
223,Sony Tiny Pen Drive 8GB Wht,Storage Media,"SONY",12,369
224,MOTO Z2 Play Grey,Smart Phones (OS Based),"MOTOROLA",10,27999
225,Lenovo 14 IP310 8DIH/94IH 6Gi3 4GBN BLK,Mobile Computing,"LENOVO",15,32323.6
226,SAMSUNG W/M TL 7KG WA70M4500HL/TL BLU,Washing Machines,"SAMSUNG",2,21990
227,Sony Blu-Ray HT BDV-E4100,Home Theatre,"SONY",2,29691
228,CARRIER S/AC 1T 12K DURACTIV PAC 3S,Air Conditioners,"CARRIER",5,28332.2
229,LG LED 80cm 32LJ542D,TV LCD,"LG",12,21297.66667
230,SAMSUNG W/M FL 8KG WW80J4233KW/TL,Washing Machines,"SAMSUNG",6,30982
231,SONY Headphone W/Mic XB550AP Green,Earphones/Headphones,"SONY",1,3290
232,BOOMPODS RETRO CABLE AUX 1m blk,Phones Mobile Accessories,"BOOMPODS",1,399
233,LG M/W Conv 21 L MC2146BP,Microwaves,"LG",2,13890
234,Sony 1TB 2.5 STND BLK HDD,Storage Media,"SONY",8,4299
235,Nikon DSLR D3400 (18-55) Kit Blk,Digital Cameras,"NIKON",2,31680
236,Stuffcool Trip Car Charger Black,Phones Mobile Accessories,"STUFFCOOL",1,169
237,Apple Iphone 5S 16GB Grey New Mrp,Smart Phones (OS Based),"APPLE",16,17471.625
238,SAMSUNG J 7 Max Gold,Smart Phones (OS Based),"SAMSUNG",91,17895.07692
239,Scratchgard Tempered Glass Smsng J7 2016,Phones Mobile Accessories,"SCRATCHGARD",1,399
240,Hama Mini HDMI AtoC 2m 74229,Peripherals,"CROMA",5,194
241,Hama Retractable Micro Usb Cable 104825,Phones Mobile Accessories,"HAMA",1,399
242,Samsung LED 80.1cm 32FH4003,TV LCD,"SAMSUNG",12,19890
243,Apple Leather Case Iphone 7+ Saddle Brwn,Phones Mobile Accessories,"APPLE",1,3600
244,Nikon DSLR D3400 Dual Kit (18-55/70-300),Digital Cameras,"NIKON",5,42110
245,Energizer HT Micro USB Sharing Cbl 15cm,Phones Mobile Accessories,"ENERGIZER",1,449
246,LG M/W Conv 28L MC2846BV,Microwaves,"LG",3,12990
247,SAMSUNG Dream Clr Standing Covr S8 + BLK,Phones Mobile Accessories,"SAMSUNG",6,2749
248,Bajaj Hand Blender Majesty HB05 250 W,Kitchen Appliances,"BAJAJ",2,1218
249,Creative Headset HS-320,Peripherals,"CREATIVE",1,399
250,LOGITECH M221 SILENT BLK,Input Devices,"LOGITECH",1,849
251,Stuffcoll BT Stereo Headphone Ray Black,Earphones/Headphones,"STUFFCOOL",1,2999
252,DELL Insp 7567 7Gi7 16GB4X +Off,Mobile Computing,"DELL",1,109990
253,HP Omen 15-ax250TX 7Gi7 16GB4X + Off BLK,Mobile Computing,"HP",3,103616.6667
254,LG LED 124cm 49UJ632T UHD/4K,TV LCD,"LG",9,69728.22222
255,Philips HUE Bridge IN Homekit,Home Appliances,"PHILIPS",1,3657
256,ASUS 14 E402NA-GA022T CDC 2GB 32GB Blue,Mobile Computing,"ASUS",6,16741.66667
257,LG OLED 164cm 65C7T,TV LCD,"LG",1,334868
258,Philips Bluetooth Headphone SHB5500 BLK,Earphones/Headphones,"PHILIPS",3,3695
259,Itek Karaoke Mic W/Speaker Silver,DVD/VCD/Content,"ITEK",6,999
260,Google Pixel XL LTE 32GB Silver,Smart Phones (OS Based),"GOOGLE",1,47775
261,VOLTAS S/AC 2T 245ZYB 5S,Air Conditioners,"VOLTAS",1,45892
262,Seagate HDD 1TB Backup Plus Slim 3.0 WHT,Storage Media,"SEAGATE",7,4213.285714
263,WHIRLPOOL W/M SEMI 7.5KG ACETRBDRY F RED,Washing Machines,"WHIRLPOOL",4,11641.5
264,MS Surface Pro4 QC7-00058 Cover SC Black,Tablets & Detachables,"MICROSOFT",8,9580.875
265,Targus 3D Protctn Mlti-Gn iPad Mini4 Blk,Tablets & Detachables,"TARGUS",1,1990
266,WHIRLPOOL W/M TL 7KG SW ULTRA WINE,Washing Machines,"WHIRLPOOL",2,21114
267,LENOVO 15 Y520 X3IN 7Gi5 8GB4X BLK,Mobile Computing,"LENOVO",7,75990
268,ITEK Fidget Spinner LED,Toys,"ITEK",5,399
269,Neopack Leather 13.3 inch Sleeve BRWN,Computer Bags,"NeoPack",1,2499
270,APPLE 15 Macbok PRO MPTT2 Tbar i7 512 SG,Mobile Computing,"APPLE",2,203100
271,Bose BT Spker Soundlink Revolve Plus Gry,Shop in Shop,"BOSE",2,24500
272,Hama 2.4A Car Charger & lightning 108995,Phones Mobile Accessories,"HAMA",2,1099
273,VOLTAS INV/AC 2T 243V EYA 3S,Air Conditioners,"VOLTAS",4,45041.5
274,Travel Blue Belts Ultra Slim Safe,Travel Accessories,"TRAVEL BLUE",1,795
275,STUFFCOOL Mighty 2.5D Protctr J7 max Gd,Phones Mobile Accessories,"STUFFCOOL",4,699
276,Skullcandy Earphone Riff White/Black-Mic,Earphones/Headphones,"SkullCandy",1,1399
277,A.O.SMITH Geyser 6L/Ver/SGS,Home Appliances,"A.O.SMITH",3,7480
278,LG M/W Conv 21L MC 2145 BPG,Microwaves,"LG",1,13956
279,CROMA S/AC 1.5T CRAC7512 3SPAC,Air Conditioners,"CROMA",9,27519.22222
280,Dell Ins 5567/7th/i5/4GB/1TB/2GB Win+Off,Mobile Computing,"DELL",1,52990
281,Google Play Gift Card - INR 1000,Phones Mobile Providers,"GOOGLE",2,1000
282,Croma Induction Cooker CRAG0141 1600W,Kitchen Appliances,"CROMA",6,1858.5
283,Sandisk MicroSD 32GB card,Phones Mobile Accessories,"SANDISK",16,926.1875
284,Apple EarPods with Remote/Mic MNHF2ZM/A,Phones Mobile Accessories,"APPLE",18,2392.388889
285,Dlink ADSL2 N300 Ruter DSL2750,Networking,"DLINK",12,1949
286,NIKON DSLR D5300 (18-55mm) Blk (New Mrp),Digital Cameras,"NIKON",3,39951
287,BLUESTAR S/AC 1T BS-3HW12FBTU 3S,Air Conditioners,"BLUESTAR",2,26766
288,Eureka Forbes Vac Trendy Steel,Home Appliances,"EUREKAFORB",4,7120
289,Strontium MicroSD Card 8GB,Phones Mobile Accessories,"Strontium",10,395.4
290,Croma DSLR/Laptop 15INCH Backpack IA2002,Travel Accessories,"CROMA",1,1990
291,Targus World Power Adapter,Travel Accessories,"TARGUS",10,1180
292,Croma Retro Bluetooth Radio ES1091 BTR12,MP3 Players,"CROMA",1,6990
293,Croma Aud Cable 3.5 Stereo CREE0548,Entertainment Accessories,"CROMA",8,149
294,LG LED 61CM 24LH480A-PT,TV LCD,"LG",6,14666.66667
295,SAMSUNG INV/AC 1T AR12MV3HETSNNA 3S,Air Conditioners,"SAMSUNG",5,30865
296,SAMSUNG Dream Clr Standing Cover S8 GLD,Phones Mobile Accessories,"SAMSUNG",1,2549
297,Stuffcool Dual USB Wall Chgr Zenit 3.4A,Phones Mobile Accessories,"STUFFCOOL",1,1104
298,Croma W/M TL 9kg FA CRAW2204,Washing Machines,"CROMA",2,29742
299,Scratchgard Tempered Glass iPhone SE,Phones Mobile Accessories,"SCRATCHGARD",6,478.1666667
300,Scratchgard Tempered Glass J7 Prime,Phones Mobile Accessories,"SCRATCHGARD",9,429
301,Sony Earphone MDR-E9LP/WICE White,Earphones/Headphones,"SONY",3,470
302,Philips Earphone SHQ2300LF Lime,Earphones/Headphones,"PHILIPS",1,799
303,Croma Ref DC 190L CRAR0212- RF 3*,Refrigerators,"CROMA",1,12990
304,Iball Tablet PC Slide Gorgeo 4G Blk 17cm,Tablets & Detachables,"IBALL",2,6200
305,PHILIPS EARPHONE SHE3705 WHITE,Earphones/Headphones,"PHILIPS",8,561.625
306,Motorola Corded Phone CT202,Phones Fixed,"MOTOROLA",2,1450
